"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.66250000000E+008, -1.63728638663E+000, +0.00000000000E+000
+2.67500000000E+008, -1.65322943421E+000, +0.00000000000E+000
+2.68750000000E+008, -1.66342682589E+000, +0.00000000000E+000
+2.70000000000E+008, -1.67710184237E+000, +0.00000000000E+000
+2.71250000000E+008, -1.67817598236E+000, +0.00000000000E+000
+2.72500000000E+008, -1.64180416962E+000, +0.00000000000E+000
+2.73750000000E+008, -1.61209307743E+000, +0.00000000000E+000
+2.75000000000E+008, -1.55724211802E+000, +0.00000000000E+000
+2.76250000000E+008, -1.51804092369E+000, +0.00000000000E+000
+2.77500000000E+008, -1.48177901289E+000, +0.00000000000E+000
+2.78750000000E+008, -1.44578185867E+000, +0.00000000000E+000
+2.80000000000E+008, -1.39598975485E+000, +0.00000000000E+000
+2.81250000000E+008, -1.34900682640E+000, +0.00000000000E+000
+2.82500000000E+008, -1.29930666586E+000, +0.00000000000E+000
+2.83750000000E+008, -1.23879839866E+000, +0.00000000000E+000
+2.85000000000E+008, -1.20633751605E+000, +0.00000000000E+000
+2.86250000000E+008, -1.14357588918E+000, +0.00000000000E+000
+2.87500000000E+008, -1.10373367547E+000, +0.00000000000E+000
+2.88750000000E+008, -1.05418302207E+000, +0.00000000000E+000
+2.90000000000E+008, -1.01216412601E+000, +0.00000000000E+000
+2.91250000000E+008, -9.69097779807E-001, +0.00000000000E+000
+2.92500000000E+008, -9.35755962025E-001, +0.00000000000E+000
+2.93750000000E+008, -9.12162183207E-001, +0.00000000000E+000
+2.95000000000E+008, -8.91232393079E-001, +0.00000000000E+000
+2.96250000000E+008, -8.86408802083E-001, +0.00000000000E+000
+2.97500000000E+008, -8.72674311150E-001, +0.00000000000E+000
+2.98750000000E+008, -8.57586587310E-001, +0.00000000000E+000
+3.00000000000E+008, -8.64919654435E-001, +0.00000000000E+000
